Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0.0,-0.2665056179144992,-0.0625579375917064,3.520741700768453,2.071152296311459,-0.4904325115985494,0.8544059094334712,0.29550794697689536,0.05315709706762434,0.13752259039939904,0.09610453924661665,-0.23322012667920286,-0.40645129818640824,-1.4486384348707422,-0.2836834440991171,1.4860136791278895,-0.5894601800094011,0.0918407710722682,0.04104161722793397,0.3544506895401808,0.30814934307013997,-0.024574207274768365,0.08843878621513679,-0.1109343150879358,0.02221849744116912,0.03448334385002924,-0.23549819184770837,0.1285761596732155,-0.007546173767608581,149.62,0
0.0,0.2335894613661835,0.22876574913311098,0.23109359168321922,0.6735056634816569,0.087002067542951,-0.15218733094177583,-0.09719135372675147,0.045834378169369076,-0.09655850320371372,-0.17674040936912647,0.6818720711503663,0.7008185099504893,0.7146753018568464,-0.13107274137255506,0.6432794127774224,0.5813357082446152,-0.05069810943187391,-0.29179037481588754,-0.1279054454025463,-0.08467342218313897,-0.3030706856009376,-0.20329637623410557,0.101710143554621,-0.11282078644217541,0.044846921709632184,0.15677211860559997,-0.008647996613833918,0.00527767335764068,2.69,0
1.0,-0.26622083350516323,-1.1519165490109464,2.4614190100020172,0.5707494789778841,-0.7294400648144446,3.326985238073009,0.976145299663363,0.13339418225508728,-0.5725856157712703,0.21978747594205122,0.26404356910424553,0.04347646885874605,1.048122313006106,-0.1512877484367426,2.374364582664434,-3.621571126219281,0.4901660569047781,-0.19312409573123382,-1.9844821220756057,0.6434541479336586,0.33290172884147684,0.24563412459778977,0.9132022781101162,-0.2288245581179464,-0.08789670466772179,-0.17321216256855074,-0.053287931901699614,-0.021417214991527968,378.66,0
1.0,-0.18937747360545523,-0.15920816506598806,2.4888814787640046,-1.297392104447992,-0.01494383485934284,2.304597586368741,0.2930540639129394,0.20328087192682417,-0.5243374776532789,-0.05816594914321976,-0.09576039350624813,0.11725638303284647,0.7419443717734185,-0.2624911444158268,-0.6390891411587798,-1.327846850712083,-0.30209758041605117,3.128219087300929,-1.0814636645250628,-0.254986558113901,-0.1453777264569168,0.0016786444292036784,-0.19111368790913402,-0.39026249501728766,0.17367202311642432,-0.2763603348848216,0.06038305653455244,0.022028630907539218,123.5,0
2.0,-0.22699956385507203,0.7544451213776356,2.149798930607388,0.6056971254758806,-0.5902707976668997,0.17724487608895292,0.7313011676315673,-0.14570453472397701,0.30913044538158185,0.7971202305836227,-0.34790370306748036,0.35407895278271184,1.9665849423419623,-1.0207682446544837,0.17724865574379098,-0.5657122011493716,-0.10467464285394532,-0.0607809447300518,0.7049541021912201,0.5007398643613519,-0.012659349820181666,0.2541009112289576,-0.13803094223593623,0.046897212009069475,-0.055266336643581826,0.6254871809188202,0.21123697596745303,0.07711864890468983,69.99,0
2.0,-0.0834841194935735,0.8256028030954213,1.5839913315113465,-0.2528566269000601,0.61026597132131,-0.05493094116286503,0.587320592380234,0.14020109946163267,-0.21497515636020123,-0.39313005170570764,0.5670949122109877,0.23677422248451607,-0.5232491374938707,-0.12502053919265232,0.5239052714409002,0.5034038144367782,-0.025671642256074066,0.10925059689314107,-0.02912318314241785,0.10414269048044336,-0.27955028735725596,-0.1781984505665894,-0.026507681426546137,-0.12330461616238919,-0.06245176058543509,0.13189202103131342,0.24437490458312092,0.029062088746648077,3.67,0
4.0,0.24099790300587642,0.1211973947802475,0.0629798647728056,1.8073393238961175,0.2781522257174586,0.503913474709712,-0.00636283618751968,0.04373997900010226,0.17576908536088529,-0.10505950538922669,-0.5990782566230123,-0.10120203977095849,-1.0974676811513187,0.15258782463389114,0.05075278277476357,-0.5558598252107698,0.0012455474029790642,-0.9738807720024529,-0.039986107670494625,-0.2691979715055743,-0.22513488130354276,-0.08616991258707737,-0.1547460211459573,-0.2589594764879702,0.2012397621978262,-0.32032817120218554,0.03322017611280791,0.0018523147838358633,4.99,0
7.0,-0.12626895504845279,1.2187887464719276,1.4913638332238506,-0.7396983369089644,1.3755825027111186,0.7910826413976102,1.3821263376622108,-2.050854236742504,0.23263045160222687,1.3224496609191572,-0.2619153011808809,0.19176103123839,2.5687720472143263,-1.206926840910068,0.6944682464062395,-0.0953949504364699,-0.539695376639201,-0.5700528037821225,0.2847102229285006,-0.19211445755411108,2.608821729136496,-0.3232305126852518,0.05774317836733199,-0.21568763027986676,-0.11140385314841746,-0.06429840891076673,-1.1618985001434015,-0.3890247146263605,40.8,0
7.0,-0.17526916797817887,0.24596201479020488,-0.15712384178174593,-0.4080614127756569,3.8698717072839197,6.877221886471098,0.4565170570075368,0.4583803483350169,-0.14820596722856189,-0.4344356777750176,-0.2981282066885951,-0.07266656358649004,-0.41827946420333234,0.06778747472012889,-0.33277739639218357,-0.2632483971623069,-0.22069914660342335,0.1889954366259732,0.5003879574889593,0.0646367533938181,-0.09856259985662041,-0.08533654420807718,-0.2050838186186697,0.3358239407035078,0.10011988144937548,-0.4783778443227762,0.011309136997401893,0.05104284854471856,93.2,0
9.0,-0.06629517901079886,0.9623292588554635,1.4497011839775156,-0.33391281353665264,0.7238774449642666,-0.45596824295028354,0.8036276194940906,0.037452360650908935,-0.2785054370492411,-0.3883016978089308,0.43025448860613386,0.5502608542381733,1.4712196377265898,-0.4043459895132176,0.15204409538035055,0.9266102898783087,-0.23889847800577152,0.7585562440751437,0.39637135915374344,0.24968389106885144,-0.33144632458895273,-0.20173050510639276,-0.1212974987614505,-0.12782723530007126,-0.01870733319866602,0.11730255866525784,0.2370344219365357,0.02977730936782931,3.68,0
